Key: Femme, Value: NOT_SELECTED
Key: Homme, Value: NOT_SELECTED
Key: vous êtes de nationalité française par mariage, Value: None
Key: M, Value: None
Key: Pour le passeport :, Value: Couleur des yeux
Key: - vous êtes né(e) en France et au moins l'un de vos parents est né dans un ancien département ou territoire français, Value: NOT_SELECTED
Key: An, Value: None
Key: passeport, Value: SELECTED
Key: vous êtes naturalisé(e) français(e), Value: None
Key: vous êtes né(e) en France et vos parents ne sont pas français, Value: None
Key: vous avez été réintégré(e) dans la nationalité française, Value: None
Key: MÈRE, Value: Nom
Key: (autrement que par mariage), Value: None
Key: avant votre majorité, Value: None
Key: Tél. portable, Value: None
Key: Code postal, Value: None
Key: Né le, Value: J
Key: Département de naissance, Value: None
Key: Nationalité, Value: None
Key: vous êtes français(e) par déclaration, Value: None
Key: Taille, Value: None
Key: Né(e), Value: J
Key: - vous n' 'êtes pas né(e) en France et l'un au moins de vos parents est français, Value: NOT_SELECTED
Key: Adresse, Value: None
Key: - autre motif, Value: None
Key: Deuxième nom, Value: None
Key: Née le, Value: J M An A
Key: Prénom(s), Value: None
Key: Nom, Value: (C'est le nom qui figure sur votre acte de naissance.)
Key: Précisez s'il s'agit du nom de votre :, Value: père mère - époux - épouse deuxième nom ? Oui Non Si oui, lequel : époux(se) veuf(ve)
Key: Pays de naissance, Value: None
Key: Prénom(s), Value: None
Key: PÈRE, Value: Nom
Key: Commune, Value: None
Key: An, Value: A
35
